District,Population,Population density,District square,address for Nominatim,location,point
  Нижегородский , 45294 , 5983.36 , 7. 57 ,"  Нижегородский ,  ЮВАО ","Нижегородский, Москва, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 109052, Россия","(55.7299222, 37.7164803, 0.0)"
 Новогиреево , 98415 , 22115.73 , 4. 45 ," Новогиреево ,  ВАО ","Новогиреево, район Новогиреево, Восточный административный округ, Москва, Центральный федеральный округ, 111402, Россия","(55.7487651, 37.8061677, 0.0)"
 Новокосино , 107907 , 29974.17 , 3. 60 ," Новокосино ,  ВАО ","Новокосино, Городецкая улица, Новокосино, район Новокосино, Восточный административный округ, Москва, Центральный федеральный округ, 111672, Россия","(55.7450888, 37.8637539, 0.0)"
  Ново-Переделкино , ↘121553 , 14334.08 , 8. 48 ,"  Ново-Переделкино ,  ЗАО ","Ново-Переделкино, район Ново-Переделкино, Западный административный округ, Москва, Центральный федеральный округ, 119634, Россия","(55.6461043, 37.352684, 0.0)"
  Обручевский , 86793 , 14205.07 , 6. 11 ,"  Обручевский ,  ЮЗАО ","Обручевский, Обручевский район, Юго-Западный административный округ, Москва, Центральный федеральный округ, 117421, Россия","(55.6641579, 37.5203033, 0.0)"
 Орехово-Борисово Северное , 132265 , 17244.46 , 7. 67 ," Орехово-Борисово Северное ,  ЮАО ","Орехово-Борисово Северное, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115569, Россия","(55.619223, 37.7011025, 0.0)"
  Орехово-Борисово Южное , 147789 , 21295.24 , 6. 94 ,"  Орехово-Борисово Южное ,  ЮАО ","Орехово-Борисово Южное, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115583, Россия","(55.603885, 37.729895, 0.0)"
 Останкинский , 63514 , 5097.43 , 12. 46 ," Останкинский ,  СВАО ","Останкинский район, Северо-Восточный административный округ, Москва, Центральный федеральный округ, Россия","(55.8210768, 37.619119, 0.0)"
 Отрадное , 185488 , 18220.83 , 10. 18 ," Отрадное ,  СВАО ","Отрадное, Москва, Северо-Восточный административный округ, Москва, Центральный федеральный округ, 127560, Россия","(55.8646371, 37.6044745, 0.0)"
 Очаково-Матвеевское , 130742 , 7453.93 , 17. 54 ," Очаково-Матвеевское ,  ЗАО ","Очаково-Матвеевское, Москва, Западный административный округ, Москва, Центральный федеральный округ, 119530, Россия","(55.690291, 37.4406611, 0.0)"
 Перово , 140968 , 14487.98 , 9. 73 ," Перово ,  ВАО ","Перово, Зелёный проспект, Новогиреево, район Новогиреево, Восточный административный округ, Москва, Центральный федеральный округ, 111394, Россия","(55.7511973, 37.7864823, 0.0)"
  Печатники , 86587 , 4839.97 , 17. 89 ,"  Печатники ,  ЮВАО ","Печатники, улица Гурьянова, Печатники, район Печатники, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 109548, Россия","(55.6935214, 37.7269124, 0.0)"
